[277] x: 277	 y: (0, 184)
[278] x: 278	 y: (0, 184)
[279] x: 279	 y: (0, 184)
[280] x: 280	 y: (0, 184)
[281] x: 281	 y: (0, 184)
[282] x: 282	 y: (0, 184)
[283] x: 283	 y: (0, 184)
[284] x: 284	 y: (0, 184)
[285] x: 285	 y: (0, 184)
[286] x: 286	 y: (0, 184)
[287] x: 287	 y: (0, 184)
[288] x: 288	 y: (0, 184)
[289] x: 289	 y: (0, 184)
[290] x: 290	 y: (0, 184)
[291] x: 291	 y: (0, 184)
[292] x: 292	 y: (0, 184)
[293] x: 293	 y: (0, 184)
[294] x: 294	 y: (0, 184)
[295] x: 295	 y: (0, 184)
[296] x: 296	 y: (0, 184)
[297] x: 297	 y: (0, 184)
[298] x: 298	 y: (0, 184)
[299] x: 299	 y: (0, 184)
[300] x: 300	 y: (0, 184)
[301] x: 301	 y: (0, 184)
[302] x: 302	 y: (0, 184)
[303] x: 303	 y: (0, 184)
[304] x: 304	 y: (0, 184)
[305] x: 305	 y: (0, 184)
[306] x: 306	 y: (0, 184)
[307] x: 307	 y: (0, 184)
[308] x: 308	 y: (0, 184)
[309] x: 309	 y: (0, 184)
[310] x: 310	 y: (0, 184)
[311] x: 311	 y: (0, 184)
[312] x: 312	 y: (0, 184)
[313] x: 313	 y: (0, 184)
[314] x: 314	 y: (0, 184)
[315] x: 315	 y: (0, 184)
[316] x: 316	 y: (0, 184)
[317] x: 317	 y: (0, 184)
[318] x: 318	 y: (0, 184)
[319] x: 319	 y: (0, 184)
[320] x: 320	 y: (0, 184)
[321] x: 321	 y: (0, 184)
[322] x: 322	 y: (0, 184)
[323] x: 323	 y: (0, 184)
[324] x: 324	 y: (0, 184)
[325] x: 325	 y: (0, 184)
[326] x: 326	 y: (0, 184)
[327] x: 327	 y: (0, 184)
[328] x: 328	 y: (0, 184)
[329] x: 329	 y: (0, 184)
[330] x: 330	 y: (0, 184)
[331] x: 331	 y: (0, 184)
[332] x: 332	 y: (0, 184)
[333] x: 333	 y: (0, 184)
[334] x: 334	 y: (0, 184)
[335] x: 335	 y: (0, 184)
[336] x: 336	 y: (0, 184)
[337] x: 337	 y: (0, 184)
[338] x: 338	 y: (0, 184)
[339] x: 339	 y: (0, 184)
[340] x: 340	 y: (0, 184)
[341] x: 341	 y: (0, 184)
[342] x: 342	 y: (0, 184)
[343] x: 343	 y: (0, 184)
[344] x: 344	 y: (0, 184)
[345] x: 345	 y: (0, 184)
[346] x: 346	 y: (0, 184)
[347] x: 347	 y: (0, 184)
[348] x: 348	 y: (0, 184)
[349] x: 349	 y: (0, 184)
[350] x: 350	 y: (0, 184)
[351] x: 351	 y: (0, 184)
[352] x: 352	 y: (0, 184)
[353] x: 353	 y: (0, 184)
[354] x: 354	 y: (0, 184)
[355] x: 355	 y: (0, 184)
[356] x: 356	 y: (0, 184)
[357] x: 357	 y: (0, 184)
[358] x: 358	 y: (0, 184)
[359] x: 359	 y: (0, 184)
[360] x: 360	 y: (0, 184)
[361] x: 361	 y: (0, 184)
[362] x: 362	 y: (0, 184)
[363] x: 363	 y: (0, 184)
[364] x: 364	 y: (0, 184)
[365] x: 365	 y: (0, 184)
[366] x: 366	 y: (0, 184)
[367] x: 367	 y: (0, 184)
[368] x: 368	 y: (0, 184)
[369] x: 369	 y: (0, 184)
[370] x: 370	 y: (0, 184)
[371] x: 371	 y: (0, 184)
[372] x: 372	 y: (0, 184)
[373] x: 373	 y: (0, 184)
[374] x: 374	 y: (0, 184)
[375] x: 375	 y: (0, 184)
[376] x: 376	 y: (0, 184)
[377] x: 377	 y: (0, 184)
[378] x: 378	 y: (0, 184)
[379] x: 379	 y: (0, 184)
[380] x: 380	 y: (0, 184)
[381] x: 381	 y: (0, 184)
[382] x: 382	 y: (0, 184)
[383] x: 383	 y: (0, 184)
[384] x: 384	 y: (0, 184)
[385] x: 385	 y: (0, 184)
[386] x: 386	 y: (0, 184)
[387] x: 387	 y: (0, 184)
[388] x: 388	 y: (0, 184)
[389] x: 389	 y: (0, 184)
[390] x: 390	 y: (0, 184)
[391] x: 391	 y: (0, 184)
[392] x: 392	 y: (0, 184)
[393] x: 393	 y: (0, 184)
[394] x: 394	 y: (0, 184)
[395] x: 395	 y: (0, 184)
[396] x: 396	 y: (0, 184)
[397] x: 397	 y: (0, 184)
[398] x: 398	 y: (0, 184)
[399] x: 399	 y: (0, 184)
[400] x: 400	 y: (0, 184)
[401] x: 401	 y: (0, 184)
[402] x: 402	 y: (0, 184)
[403] x: 403	 y: (0, 184)
[404] x: 404	 y: (0, 184)
[405] x: 405	 y: (0, 184)
[406] x: 406	 y: (0, 184)
[407] x: 407	 y: (0, 184)
[408] x: 408	 y: (0, 184)
[409] x: 409	 y: (0, 184)
[410] x: 410	 y: (0, 184)
[411] x: 411	 y: (0, 184)
[412] x: 412	 y: (0, 184)
[413] x: 413	 y: (0, 184)
[414] x: 414	 y: (0, 184)
[415] x: 415	 y: (0, 184)
[416] x: 416	 y: (0, 184)
[417] x: 417	 y: (0, 184)
[418] x: 418	 y: (0, 184)
[419] x: 419	 y: (0, 184)
[420] x: 420	 y: (0, 184)
[421] x: 421	 y: (0, 184)
[422] x: 422	 y: (0, 184)
[423] x: 423	 y: (0, 184)
[424] x: 424	 y: (0, 184)
[425] x: 425	 y: (0, 184)
[426] x: 426	 y: (0, 184)
[427] x: 427	 y: (0, 184)
[428] x: 428	 y: (0, 184)
[429] x: 429	 y: (0, 184)
[430] x: 430	 y: (0, 184)
[431] x: 431	 y: (0, 184)
[432] x: 432	 y: (0, 184)
[433] x: 433	 y: (0, 184)
[434] x: 434	 y: (0, 184)
[435] x: 435	 y: (0, 184)
[436] x: 436	 y: (0, 184)
[437] x: 437	 y: (0, 184)
[438] x: 438	 y: (0, 184)
[439] x: 439	 y: (0, 184)
[440] x: 440	 y: (0, 184)
[441] x: 441	 y: (0, 184)
[442] x: 442	 y: (0, 184)
[443] x: 443	 y: (0, 184)
[444] x: 444	 y: (0, 184)
[445] x: 445	 y: (0, 184)
[446] x: 446	 y: (0, 184)
[447] x: 447	 y: (0, 184)
[448] x: 448	 y: (0, 184)
[449] x: 449	 y: (0, 184)
[450] x: 450	 y: (0, 184)
[451] x: 451	 y: (0, 184)
[452] x: 452	 y: (0, 184)
[453] x: 453	 y: (0, 184)
[454] x: 454	 y: (0, 184)
[455] x: 455	 y: (0, 184)
[456] x: 456	 y: (0, 184)
[457] x: 457	 y: (0, 184)
[458] x: 458	 y: (0, 184)
[459] x: 459	 y: (0, 184)
[460] x: 460	 y: (0, 184)
[461] x: 461	 y: (0, 184)
